50m*,100m*,150m,180m,200m,50-100m,100-150m,150-200m,180-200m,50-150m,100-200m
6.2,11.19,16.34,19.67,21.99,4.99,5.15,5.65,2.32,10.14,10.8
6.27,11.28,16.38,19.68,21.99,5.01,5.1,5.61,2.31,10.11,10.71
6.12,11.18,16.29,19.64,21.99,5.06,5.11,5.7,2.35,10.17,10.81
,11.28,,,22,,,,,,10.72
6.3,11.28,16.44,19.73,22,4.98,5.16,5.56,2.27,10.14,10.72
,11.15,,,22,,,,,,10.85
,11.2,,,22,,,,,,10.8
6.27,11.21,16.41,19.72,22,4.94,5.2,5.59,2.28,10.14,10.79
,11,,,22,,,,,,11
,11.3,,,22,,,,,,10.7
,11.5,,,22,,,,,,10.5
,11.1,,,22.01,,,,,,10.91
6.32,11.45,16.59,19.81,22.01,5.13,5.14,5.42,2.2,10.27,10.56
6.29,11.27,16.45,19.75,22.02,4.98,5.18,5.57,2.27,10.16,10.75
6.25,11.16,16.37,19.71,22.02,4.91,5.21,5.65,2.31,10.12,10.86
,11.08,,,22.02,,,,,,10.94
6.1,11.1,16.3,19.67,22.02,5,5.2,5.72,2.35,10.2,10.92
6.3,11.4,16.6,19.83,22.03,5.1,5.2,5.43,2.2,10.3,10.63
,11.46,16.59,19.82,22.03,,5.13,5.44,2.21,,10.57
6.23,11.25,16.46,19.76,22.03,5.02,5.21,5.57,2.27,10.23,10.78
6.36,11.41,16.53,19.78,22.03,5.05,5.12,5.5,2.25,10.17,10.62
,11.28,,,22.04,,,,,,10.76
,11.19,,,22.04,,,,,,10.85
,11.23,,,22.04,,,,,,10.81
,11.17,,,22.04,,,,,,10.87
6.2,11.3,16.6,19.85,22.04,5.1,5.3,5.44,2.19,10.4,10.74
,11.54,,,22.04,,,,,,10.5
6.22,11.14,16.31,19.69,22.05,4.92,5.17,5.74,2.36,10.09,10.91
,11.23,,,22.05,,,,,,10.82
6.18,11.21,16.42,19.75,22.05,5.03,5.21,5.63,2.3,10.24,10.84
,11.26,,,22.05,,,,,,10.79
6.22,11.19,16.43,19.76,22.05,4.97,5.24,5.62,2.29,10.21,10.86
,11.09,16.34,19.71,22.05,,5.25,5.71,2.34,,10.96
6.24,11.35,16.49,19.78,22.06,5.11,5.14,5.57,2.28,10.25,10.71
6.3,11.4,16.7,19.91,22.06,5.1,5.3,5.36,2.15,10.4,10.66
6.36,11.42,16.63,19.87,22.07,5.06,5.21,5.44,2.2,10.27,10.65
,11.28,,,22.07,,,,,,10.79
6.2,11.2,16.4,19.75,22.07,5,5.2,5.67,2.32,10.2,10.87
6.15,11.14,16.35,19.72,22.07,4.99,5.21,5.72,2.35,10.2,10.93
6.1,11.04,16.42,19.78,22.08,4.94,5.38,5.66,2.3,10.32,11.04
,10.74,,,22.08,,,,,,11.34
6.17,11.17,16.39,19.75,22.08,5,5.22,5.69,2.33,10.22,10.91
6.2,11.1,16.4,19.76,22.08,4.9,5.3,5.68,2.32,10.2,10.98
,11.26,,,22.08,,,,,,10.82
6.23,11.26,16.5,19.81,22.08,5.03,5.24,5.58,2.27,10.27,10.82
6.24,11.31,16.49,19.79,22.08,5.07,5.18,5.59,2.29,10.25,10.77
6.18,11.2,16.44,19.78,22.08,5.02,5.24,5.64,2.3,10.26,10.88
,11.26,,,22.09,,,,,,10.83
6.28,11.25,16.46,19.79,22.09,4.97,5.21,5.63,2.3,10.18,10.84
,11.07,,,22.09,,,,,,11.02
,11.3,,,22.09,,,,,,10.79
6.3,11.6,16.6,19.84,22.09,5.3,5,5.49,2.25,10.3,10.49
,11.15,,,22.09,,,,,,10.94
,11.1,,,22.1,,,,,,11
,11.2,,,22.1,,,,,,10.9
,11.2,,,22.1,,,,,,10.9
,11.37,,,22.1,,,,,,10.73
6.3,11.4,16.5,19.8,22.1,5.1,5.1,5.6,2.3,10.2,10.7
6.15,11.2,16.45,19.79,22.1,5.05,5.25,5.65,2.31,10.3,10.9
6.22,11.35,16.58,19.86,22.1,5.13,5.23,5.52,2.24,10.36,10.75
6,11.02,16.44,19.81,22.11,5.02,5.42,5.67,2.3,10.44,11.09
,11.2,,,22.11,,,,,,10.91
6.26,11.32,16.49,19.81,22.11,5.06,5.17,5.62,2.3,10.23,10.79
,11.26,,,22.12,,,,,,10.86
,11.24,,,22.12,,,,,,10.88
6.14,11.17,16.45,19.81,22.12,5.03,5.28,5.67,2.31,10.31,10.95
6.17,11.2,16.46,19.81,22.12,5.03,5.26,5.66,2.31,10.29,10.92
,11.12,16.37,19.76,22.12,,5.25,5.75,2.36,,11
,11.17,16.4,19.77,22.12,,5.23,5.72,2.35,,10.95
,11.38,16.61,19.88,22.12,,5.23,5.51,2.24,,10.74
6.31,11.26,16.48,19.81,22.12,4.95,5.22,5.64,2.31,10.17,10.86
,11.29,,,22.12,,,,,,10.83
6.3,11.41,16.67,19.92,22.12,5.11,5.26,5.45,2.2,10.37,10.71
6.24,11.22,16.42,19.78,22.12,4.98,5.2,5.7,2.34,10.18,10.9
,10.99,16.17,19.65,22.13,,5.18,5.96,2.48,,11.14
,11.44,,,22.13,,,,,,10.69
,11.28,16.53,19.85,22.13,,5.25,5.6,2.28,,10.85
6.36,11.37,16.6,19.88,22.13,5.01,5.23,5.53,2.25,10.24,10.76
6.25,11.3,16.54,19.85,22.13,5.05,5.24,5.59,2.28,10.29,10.83
6.38,11.32,16.7,19.95,22.13,4.94,5.38,5.43,2.18,10.32,10.81
,11.29,,,22.13,,,,,,10.84
6.44,11.46,16.52,19.82,22.14,5.02,5.06,5.62,2.32,10.08,10.68
6.29,11.24,16.72,19.98,22.14,4.95,5.48,5.42,2.16,10.43,10.9
,11.39,,,22.14,,,,,,10.75
,11.22,16.43,19.8,22.14,,5.21,5.71,2.34,,10.92
,11.08,,,22.14,,,,,,11.06
6.2,11.27,16.55,19.87,22.15,5.07,5.28,5.6,2.28,10.35,10.88
6.34,11.33,16.54,19.86,22.15,4.99,5.21,5.61,2.29,10.2,10.82
,11.3,,,22.15,,,,,,10.85
6.31,11.37,16.59,19.89,22.15,5.06,5.22,5.56,2.26,10.28,10.78
,11.35,,,22.15,,,,,,10.8
6.29,11.4,16.61,19.89,22.15,5.11,5.21,5.54,2.26,10.32,10.75
,11.33,,,22.16,,,,,,10.83
6.27,11.22,16.53,19.87,22.16,4.95,5.31,5.63,2.29,10.26,10.94
6.22,11.22,16.52,19.86,22.16,5,5.3,5.64,2.3,10.3,10.94
,11.3,,,22.16,,,,,,10.86
,11.35,,,22.16,,,,,,10.81
,11.26,,,22.16,,,,,,10.9
6.32,11.41,16.6,19.89,22.16,5.09,5.19,5.56,2.27,10.28,10.75
6.33,11.34,16.49,19.83,22.16,5.01,5.15,5.67,2.33,10.16,10.82
,11.24,16.32,19.74,22.17,,5.08,5.85,2.43,,10.93
,11.16,16.4,19.8,22.17,,5.24,5.77,2.37,,11.01
6.33,11.38,16.56,19.87,22.17,5.05,5.18,5.61,2.3,10.23,10.79
,11.42,,,22.17,,,,,,10.75
,11.47,,,22.18,,,,,,10.71
,11.1,,,22.18,,,,,,11.08
6.37,11.57,16.75,19.98,22.18,5.2,5.18,5.43,2.2,10.38,10.61
,11.27,16.48,19.84,22.18,,5.21,5.7,2.34,,10.91
,11.44,,,22.18,,,,,,10.74
,11.43,16.7,19.97,22.19,,5.27,5.49,2.22,,10.76
,11.42,16.64,19.93,22.19,,5.22,5.55,2.26,,10.77
,11.24,16.52,19.88,22.2,,5.28,5.68,2.32,,10.96
6.28,11.29,16.57,19.91,22.2,5.01,5.28,5.63,2.29,10.29,10.91
6.25,11.15,16.43,19.83,22.2,4.9,5.28,5.77,2.37,10.18,11.05
6.16,11.15,16.5,19.88,22.2,4.99,5.35,5.7,2.32,10.34,11.05
,11.2,,,22.2,,,,,,11
,11.3,,,22.2,,,,,,10.9
,11.2,,,22.2,,,,,,11
,11.51,16.71,19.97,22.2,,5.2,5.49,2.23,,10.69
6.32,11.36,16.52,19.87,22.2,5.04,5.16,5.68,2.33,10.2,10.84
6.29,11.41,16.53,19.87,22.2,5.12,5.12,5.67,2.33,10.24,10.79
,11.39,,,22.2,,,,,,10.81
6.3,11.4,16.67,19.96,22.2,5.1,5.27,5.53,2.24,10.37,10.8
6.28,11.28,16.48,19.85,22.2,5,5.2,5.72,2.35,10.2,10.92
6.29,11.28,16.53,19.88,22.2,4.99,5.25,5.67,2.32,10.24,10.92
6.21,11.18,16.49,19.87,22.2,4.97,5.31,5.71,2.33,10.28,11.02
6.3,11.32,16.57,19.9,22.2,5.02,5.25,5.63,2.3,10.27,10.88
,11.3,,,22.2,,,,,,10.9
,11.4,,,22.2,,,,,,10.8
,11.5,,,22.2,,,,,,10.7
6,11.04,16.36,19.8,22.2,5.04,5.32,5.84,2.4,10.36,11.16
,11.17,,,22.21,,,,,,11.04
6.26,11.46,16.63,19.93,22.21,5.2,5.17,5.58,2.28,10.37,10.75
6.21,11.31,16.62,19.94,22.21,5.1,5.31,5.59,2.27,10.41,10.9
,11.3,,,22.21,,,,,,10.91
6.19,11.17,16.41,19.82,22.21,4.98,5.24,5.8,2.39,10.22,11.04
6.05,11.07,16.39,19.82,22.21,5.02,5.32,5.82,2.39,10.34,11.14
6.31,11.28,16.57,19.92,22.22,4.97,5.29,5.65,2.3,10.26,10.94
6.41,11.35,17.13,20.27,22.22,4.94,5.78,5.09,1.95,10.72,10.87
6.34,11.37,16.53,19.88,22.22,5.03,5.16,5.69,2.34,10.19,10.85
6,11.03,16.34,19.8,22.22,5.03,5.31,5.88,2.42,10.34,11.19
,11.4,,,22.22,,,,,,10.82
6.28,11.25,16.49,19.87,22.22,4.97,5.24,5.73,2.35,10.21,10.97
6.16,11.15,16.46,19.86,22.22,4.99,5.31,5.76,2.36,10.3,11.07
,11.39,,,22.23,,,,,,10.84
6.3,11.4,16.7,19.99,22.23,5.1,5.3,5.53,2.24,10.4,10.83
6.12,11.16,16.48,19.88,22.23,5.04,5.32,5.75,2.35,10.36,11.07
6.27,11.24,16.5,19.88,22.23,4.97,5.26,5.73,2.35,10.23,10.99
,11.27,,,22.24,,,,,,10.97
,11.28,16.51,19.89,22.24,,5.23,5.73,2.35,,10.96
6.19,11.21,16.54,19.92,22.24,5.02,5.33,5.7,2.32,10.35,11.03
6.4,11.5,16.7,19.98,22.24,5.1,5.2,5.54,2.26,10.3,10.74
,11.46,,,22.24,,,,,,10.78
6.34,11.41,16.62,19.94,22.24,5.07,5.21,5.62,2.3,10.28,10.83
6.26,11.31,16.57,19.92,22.24,5.05,5.26,5.67,2.32,10.31,10.93
6.22,11.19,16.44,19.85,22.24,4.97,5.25,5.8,2.39,10.22,11.05
6.25,11.23,16.54,19.91,22.24,4.98,5.31,5.7,2.33,10.29,11.01
,11.28,16.52,19.9,22.25,,5.24,5.73,2.35,,10.97
,11.29,16.53,19.9,22.25,,5.24,5.72,2.35,,10.96
6.37,11.38,16.68,19.99,22.25,5.01,5.3,5.57,2.26,10.31,10.87
,11.47,,,22.25,,,,,,10.78
6.23,11.33,16.58,19.93,22.25,5.1,5.25,5.67,2.32,10.35,10.92
,11.2,,,22.25,,,,,,11.05
6.2,11.2,16.5,19.9,22.25,5,5.3,5.75,2.35,10.3,11.05
6.2,11.16,16.45,19.87,22.25,4.96,5.29,5.8,2.38,10.25,11.09
6.27,11.24,16.5,19.89,22.25,4.97,5.26,5.75,2.36,10.23,11.01
5.99,10.99,16.23,19.75,22.25,5,5.24,6.02,2.5,10.24,11.26
6.29,11.26,16.54,19.92,22.26,4.97,5.28,5.72,2.34,10.25,11
6.24,11.26,16.57,19.94,22.26,5.02,5.31,5.69,2.32,10.33,11
,11.37,,,22.26,,,,,,10.89
,11.34,,,22.26,,,,,,10.92
,11.28,,,22.26,,,,,,10.98
,11.41,,,22.26,,,,,,10.85
,11.47,,,22.26,,,,,,10.79
,11.31,,,22.26,,,,,,10.95
6.28,11.45,16.63,19.95,22.26,5.17,5.18,5.63,2.31,10.35,10.81
,11.19,16.47,19.88,22.26,,5.28,5.79,2.38,,11.07
,11.18,16.43,19.86,22.27,,5.25,5.84,2.41,,11.09
6.23,11.33,16.63,19.97,22.27,5.1,5.3,5.64,2.3,10.4,10.94
6.15,11.21,16.5,19.9,22.27,5.06,5.29,5.77,2.37,10.35,11.06
,11.47,,,22.27,,,,,,10.8
,11.3,,,22.27,,,,,,10.97
6.31,11.34,16.57,19.93,22.27,5.03,5.23,5.7,2.34,10.26,10.93
,11.25,,,22.28,,,,,,11.03
6.14,11.17,16.49,19.91,22.28,5.03,5.32,5.79,2.37,10.35,11.11
6.34,11.43,16.62,19.96,22.28,5.09,5.19,5.66,2.32,10.28,10.85
,11.22,,,22.28,,,,,,11.06
6.17,11.17,16.49,19.91,22.28,5,5.32,5.79,2.37,10.32,11.11
,11.06,16.36,19.84,22.29,,5.3,5.93,2.45,,11.23
,11.51,,,22.29,,,,,,10.78
,11.35,16.49,19.89,22.29,,5.14,5.8,2.4,,10.94
6.25,11.23,16.52,19.92,22.29,4.98,5.29,5.77,2.37,10.27,11.06
,11.44,,,22.29,,,,,,10.85
6.24,11.46,16.68,20,22.29,5.22,5.22,5.61,2.29,10.44,10.83
6.04,11.13,16.31,19.8,22.29,5.09,5.18,5.98,2.49,10.27,11.16
,11.3,,,22.3,,,,,,11
,11.2,,,22.3,,,,,,11.1
,11.4,,,22.3,,,,,,10.9
,11.3,,,22.3,,,,,,11
6.26,11.23,16.53,19.94,22.3,4.97,5.3,5.77,2.36,10.27,11.07
,11.4,,,22.3,,,,,,10.9
,11.45,,,22.3,,,,,,10.85
6.13,11.22,16.48,19.9,22.3,5.09,5.26,5.82,2.4,10.35,11.08
,11.52,,,22.3,,,,,,10.78
6.3,11.3,16.56,19.95,22.3,5,5.26,5.74,2.35,10.26,11
,11.2,,,22.3,,,,,,11.1
,11.28,,,22.31,,,,,,11.03
,11.39,16.68,20.02,22.31,,5.29,5.63,2.29,,10.92
6.34,11.44,16.73,20.04,22.31,5.1,5.29,5.58,2.27,10.39,10.87
,11.3,,,22.31,,,,,,11.01
,11.5,,,22.31,,,,,,10.81
,11.62,,,22.31,,,,,,10.69
6.31,11.37,16.65,20,22.31,5.06,5.28,5.66,2.31,10.34,10.94
6.11,11.09,16.43,19.89,22.31,4.98,5.34,5.88,2.42,10.32,11.22
6.18,11.19,16.45,19.9,22.32,5.01,5.26,5.87,2.42,10.27,11.13
,11.36,,,22.32,,,,,,10.96
6.3,11.36,16.66,20.01,22.32,5.06,5.3,5.66,2.31,10.36,10.96
,11.33,,,22.32,,,,,,10.99
6.3,11.37,16.65,20.01,22.33,5.07,5.28,5.68,2.32,10.35,10.96
6.34,11.41,16.68,20.02,22.33,5.07,5.27,5.65,2.31,10.34,10.92
,11.33,16.57,19.96,22.33,,5.24,5.76,2.37,,11
6.34,11.4,16.6,19.97,22.33,5.06,5.2,5.73,2.36,10.26,10.93
,11.31,,,22.33,,,,,,11.02
6.3,11.54,16.72,20.03,22.33,5.24,5.18,5.61,2.3,10.42,10.79
,11.51,,,22.34,,,,,,10.83
6.35,11.35,16.68,20.04,22.34,5,5.33,5.66,2.3,10.33,10.99
6.38,11.46,16.76,20.07,22.34,5.08,5.3,5.58,2.27,10.38,10.88
6.41,11.41,16.58,19.97,22.34,5,5.17,5.76,2.37,10.17,10.93
6.19,11.1,16.43,19.91,22.34,4.91,5.33,5.91,2.43,10.24,11.24
,11.21,,,22.34,,,,,,11.13
,11.5,,,22.34,,,,,,10.84
,11.2,,,22.34,,,,,,11.14
,11.39,,,22.34,,,,,,10.95
6.25,11.3,16.57,19.97,22.34,5.05,5.27,5.77,2.37,10.32,11.04
6.11,11.18,16.49,19.94,22.34,5.07,5.31,5.85,2.4,10.38,11.16
,11.38,,,22.34,,,,,,10.96
,11.38,,,22.34,,,,,,10.96
,11.22,16.53,19.96,22.35,,5.31,5.82,2.39,,11.13
,11.46,16.67,20.02,22.35,,5.21,5.68,2.33,,10.89
,11.48,,,22.35,,,,,,10.87
,11.55,16.64,19.99,22.35,,5.09,5.71,2.36,,10.8
,11.49,16.75,20.07,22.35,,5.26,5.6,2.28,,10.86
6.38,11.51,16.71,20.04,22.35,5.13,5.2,5.64,2.31,10.33,10.84
6.19,11.14,16.49,19.94,22.35,4.95,5.35,5.86,2.41,10.3,11.21
,11.3,,,22.35,,,,,,11.05
6.34,11.43,16.69,20.04,22.35,5.09,5.26,5.66,2.31,10.35,10.92
6.29,11.32,16.59,19.99,22.35,5.03,5.27,5.76,2.36,10.3,11.03
6.37,11.43,16.69,20.04,22.35,5.06,5.26,5.66,2.31,10.32,10.92
6.21,11.31,16.71,20.07,22.35,5.1,5.4,5.64,2.28,10.5,11.04
,11.53,,,22.36,,,,,,10.83
,11.51,,,22.36,,,,,,10.85
6.36,11.5,16.75,20.07,22.36,5.14,5.25,5.61,2.29,10.39,10.86
6.31,11.46,16.69,20.04,22.36,5.15,5.23,5.67,2.32,10.38,10.9
,11.32,,,22.36,,,,,,11.04
6.3,11.4,16.8,20.12,22.36,5.1,5.4,5.56,2.24,10.5,10.96
6.2,11.3,16.6,20,22.36,5.1,5.3,5.76,2.36,10.4,11.06
6.35,11.42,16.71,20.06,22.36,5.07,5.29,5.65,2.3,10.36,10.94
,11.59,,,22.37,,,,,,10.78
,11.32,16.82,20.14,22.37,,5.5,5.55,2.23,,11.05
,11.55,16.78,20.09,22.37,,5.23,5.59,2.28,,10.82
,11.35,16.57,19.98,22.37,,5.22,5.8,2.39,,11.02
6.36,11.29,16.63,20.03,22.37,4.93,5.34,5.74,2.34,10.27,11.08
6.08,11.15,16.44,19.92,22.37,5.07,5.29,5.93,2.45,10.36,11.22
6.2,11.3,16.7,20.07,22.37,5.1,5.4,5.67,2.3,10.5,11.07
6.1,11.15,16.47,19.94,22.37,5.05,5.32,5.9,2.43,10.37,11.22
6.17,11.23,16.54,19.98,22.37,5.06,5.31,5.83,2.39,10.37,11.14
,11.32,16.86,20.17,22.38,,5.54,5.52,2.21,,11.06
6.39,11.42,16.77,20.1,22.38,5.03,5.35,5.61,2.28,10.38,10.96
,11.37,16.63,20.02,22.38,,5.26,5.75,2.36,,11.01
,11.4,,,22.38,,,,,,10.98
6.26,11.45,16.65,20.02,22.38,5.19,5.2,5.73,2.36,10.39,10.93
,11.1,,,22.38,,,,,,11.28
6.24,11.29,16.65,20.04,22.38,5.05,5.36,5.73,2.34,10.41,11.09
6.34,11.39,16.67,20.04,22.38,5.05,5.28,5.71,2.34,10.33,10.99
6.08,11.12,16.48,19.96,22.38,5.04,5.36,5.9,2.42,10.4,11.26
,11.39,16.68,20.06,22.39,,5.29,5.71,2.33,,11
,11.24,16.59,20.02,22.39,,5.35,5.8,2.37,,11.15
,10.9,,,22.39,,,,,,11.49
6.24,11.4,16.6,20,22.39,5.16,5.2,5.79,2.39,10.36,10.99
,11.35,,,22.39,,,,,,11.04
,11.36,,,22.39,,,,,,11.03
6.25,11.24,16.52,19.97,22.39,4.99,5.28,5.87,2.42,10.27,11.15
,11.41,,,22.39,,,,,,10.98
6.4,11.43,16.66,20.04,22.39,5.03,5.23,5.73,2.35,10.26,10.96
,11.15,16.46,19.94,22.39,,5.31,5.93,2.45,,11.24
,11.4,,,22.4,,,,,,11
,11.3,,,22.4,,,,,,11.1
,11.2,,,22.4,,,,,,11.2
,11.6,,,22.4,,,,,,10.8
,11.28,16.54,19.98,22.4,,5.26,5.86,2.42,,11.12
,11.69,16.92,20.18,22.4,,5.23,5.48,2.22,,10.71
6.33,11.43,16.75,20.1,22.4,5.1,5.32,5.65,2.3,10.42,10.97
6.41,11.52,16.8,20.12,22.4,5.11,5.28,5.6,2.28,10.39,10.88
,11.4,,,22.4,,,,,,11
,11.4,,,22.4,,,,,,11
,11.4,,,22.4,,,,,,11
,11.36,16.63,20.04,22.41,,5.27,5.78,2.37,,11.05
6.27,11.29,16.65,20.06,22.41,5.02,5.36,5.76,2.35,10.38,11.12
6.22,11.31,16.63,20.04,22.41,5.09,5.32,5.78,2.37,10.41,11.1
,11.51,,,22.41,,,,,,10.9
6.4,11.57,16.82,20.13,22.41,5.17,5.25,5.59,2.28,10.42,10.84
,11.4,,,22.41,,,,,,11.01
6.36,11.56,16.78,20.11,22.41,5.2,5.22,5.63,2.3,10.42,10.85
6.23,11.32,16.63,20.04,22.41,5.09,5.31,5.78,2.37,10.4,11.09
6.33,11.3,16.64,20.06,22.42,4.97,5.34,5.78,2.36,10.31,11.12
6.41,11.54,16.77,20.11,22.42,5.13,5.23,5.65,2.31,10.36,10.88
6.3,11.37,16.68,20.07,22.42,5.07,5.31,5.74,2.35,10.38,11.05
6.18,11.31,16.62,20.04,22.42,5.13,5.31,5.8,2.38,10.44,11.11
6.21,11.26,16.63,20.05,22.42,5.05,5.37,5.79,2.37,10.42,11.16
6.32,11.38,16.71,20.09,22.42,5.06,5.33,5.71,2.33,10.39,11.04
,11.75,16.95,20.2,22.43,,5.2,5.48,2.23,,10.68
6.43,11.6,16.84,20.15,22.43,5.17,5.24,5.59,2.28,10.41,10.83
6.39,11.53,16.83,20.15,22.43,5.14,5.3,5.6,2.28,10.44,10.9
6.38,11.41,16.69,20.08,22.43,5.03,5.28,5.74,2.35,10.31,11.02
6.2,11.4,16.7,20.09,22.43,5.2,5.3,5.73,2.34,10.5,11.03
,11.42,,,22.44,,,,,,11.02
6.21,11.26,16.57,20.02,22.44,5.05,5.31,5.87,2.42,10.36,11.18
6.38,11.42,16.59,20.02,22.44,5.04,5.17,5.85,2.42,10.21,11.02
6.32,11.34,16.67,20.08,22.44,5.02,5.33,5.77,2.36,10.35,11.1
6.3,11.4,16.7,20.09,22.44,5.1,5.3,5.74,2.35,10.4,11.04
6.3,11.3,16.6,20.04,22.44,5,5.3,5.84,2.4,10.3,11.14
,11.59,,,22.44,,,,,,10.85
,11.23,16.63,20.07,22.44,,5.4,5.81,2.37,,11.21
,11.48,16.72,20.1,22.45,,5.24,5.73,2.35,,10.97
,11.52,16.83,20.16,22.45,,5.31,5.62,2.29,,10.93
,11.56,16.83,20.16,22.45,,5.27,5.62,2.29,,10.89
6.44,11.58,16.75,20.11,22.45,5.14,5.17,5.7,2.34,10.31,10.87
,11.3,,,22.45,,,,,,11.15
6.3,11.4,16.7,20.1,22.45,5.1,5.3,5.75,2.35,10.4,11.05
6.3,11.3,16.7,20.11,22.45,5,5.4,5.75,2.34,10.4,11.15
6.31,11.3,16.62,20.06,22.45,4.99,5.32,5.83,2.39,10.31,11.15
,11.46,,,22.45,,,,,,10.99
6.38,11.41,16.66,20.07,22.45,5.03,5.25,5.79,2.38,10.28,11.04
,11.3,16.61,20.06,22.46,,5.31,5.85,2.4,,11.16
,11.56,16.8,20.15,22.46,,5.24,5.66,2.31,,10.9
,11.28,16.7,20.12,22.46,,5.42,5.76,2.34,,11.18
6.4,11.45,16.75,20.13,22.46,5.05,5.3,5.71,2.33,10.35,11.01
6.38,11.35,17.22,20.44,22.46,4.97,5.87,5.24,2.02,10.84,11.11
6.4,11.4,16.7,20.1,22.46,5,5.3,5.76,2.36,10.3,11.06
,11.42,,,22.46,,,,,,11.04
6.27,11.39,16.72,20.11,22.46,5.12,5.33,5.74,2.35,10.45,11.07
6.29,11.3,16.63,20.07,22.46,5.01,5.33,5.83,2.39,10.34,11.16
,11.65,,,22.47,,,,,,10.82
6.38,11.42,16.74,20.13,22.47,5.04,5.32,5.73,2.34,10.36,11.05
,11.36,,,22.47,,,,,,11.11
,11.59,16.9,20.21,22.47,,5.31,5.57,2.26,,10.88
6.39,11.57,16.9,20.21,22.47,5.18,5.33,5.57,2.26,10.51,10.9
,11.63,,,22.47,,,,,,10.84
6.35,11.34,16.67,20.09,22.47,4.99,5.33,5.8,2.38,10.32,11.13
,11.5,,,22.48,,,,,,10.98
6.34,11.56,16.76,20.13,22.48,5.22,5.2,5.72,2.35,10.42,10.92
6.29,11.25,16.61,20.07,22.48,4.96,5.36,5.87,2.41,10.32,11.23
6.1,11.2,16.5,20.01,22.48,5.1,5.3,5.98,2.47,10.4,11.28
6.4,11.53,16.81,20.17,22.48,5.13,5.28,5.67,2.31,10.41,10.95
6.26,11.25,16.58,20.06,22.49,4.99,5.33,5.91,2.43,10.32,11.24
6.39,11.47,16.74,20.13,22.49,5.08,5.27,5.75,2.36,10.35,11.02
,11.48,,,22.49,,,,,,11.01
,11.42,,,22.49,,,,,,11.07
6.22,11.32,16.6,20.06,22.49,5.1,5.28,5.89,2.43,10.38,11.17
6.34,11.52,16.94,20.25,22.49,5.18,5.42,5.55,2.24,10.6,10.97
,11.26,,,22.49,,,,,,11.23
,11.4,,,22.5,,,,,,11.1
6.41,11.48,16.82,20.19,22.5,5.07,5.34,5.68,2.31,10.41,11.02
6.36,11.48,16.83,20.19,22.5,5.12,5.35,5.67,2.31,10.47,11.02
,11.3,,,22.5,,,,,,11.2
,11.4,,,22.5,,,,,,11.1
6.23,11.26,16.6,20.07,22.5,5.03,5.34,5.9,2.43,10.37,11.24
6.36,11.47,16.72,20.12,22.5,5.11,5.25,5.78,2.38,10.36,11.03
6.4,11.5,16.8,20.17,22.5,5.1,5.3,5.7,2.33,10.4,11
6.4,11.5,16.9,20.24,22.5,5.1,5.4,5.6,2.26,10.5,11
6.32,11.37,16.65,20.09,22.5,5.05,5.28,5.85,2.41,10.33,11.13
6.27,11.4,16.82,20.2,22.5,5.13,5.42,5.68,2.3,10.55,11.1
6.46,11.68,16.93,20.23,22.5,5.22,5.25,5.57,2.27,10.47,10.82
,11.7,,,22.5,,,,,,10.8
6.33,11.33,16.65,20.1,22.5,5,5.32,5.85,2.4,10.32,11.17
6.34,11.54,16.8,20.17,22.51,5.2,5.26,5.71,2.34,10.46,10.97
6.28,11.31,16.65,20.1,22.51,5.03,5.34,5.86,2.41,10.37,11.2
6.26,11.38,16.71,20.13,22.51,5.12,5.33,5.8,2.38,10.45,11.13
6.2,11.4,16.7,20.12,22.51,5.2,5.3,5.81,2.39,10.5,11.11
6.45,11.6,16.9,20.23,22.51,5.15,5.3,5.61,2.28,10.45,10.91
,11.41,,,22.51,,,,,,11.1
6.42,11.55,16.9,20.23,22.51,5.13,5.35,5.61,2.28,10.48,10.96
6.25,11.39,16.75,20.16,22.51,5.14,5.36,5.76,2.35,10.5,11.12
,11.67,16.9,20.23,22.52,,5.23,5.62,2.29,,10.85
,11.68,16.92,20.24,22.52,,5.24,5.6,2.28,,10.84
,11.1,,,22.52,,,,,,11.42
6.26,11.43,16.76,20.16,22.52,5.17,5.33,5.76,2.36,10.5,11.09
,11.33,,,22.52,,,,,,11.19
,11.49,,,22.53,,,,,,11.04
6.58,11.66,16.94,20.26,22.53,5.08,5.28,5.59,2.27,10.36,10.87
6.28,11.42,16.8,20.2,22.53,5.14,5.38,5.73,2.33,10.52,11.11
,11.68,16.96,20.27,22.53,,5.28,5.57,2.26,,10.85
6.37,11.51,16.82,20.2,22.53,5.14,5.31,5.71,2.33,10.45,11.02
6.32,11.48,16.72,20.14,22.53,5.16,5.24,5.81,2.39,10.4,11.05
,11.3,,,22.53,,,,,,11.23
6.27,11.37,16.71,20.14,22.53,5.1,5.34,5.82,2.39,10.44,11.16
6.37,11.4,16.73,20.16,22.54,5.03,5.33,5.81,2.38,10.36,11.14
,11.32,16.68,20.14,22.54,,5.36,5.86,2.4,,11.22
,11.5,,,22.54,,,,,,11.04
6.44,11.5,16.81,20.2,22.54,5.06,5.31,5.73,2.34,10.37,11.04
6.24,11.35,16.72,20.16,22.54,5.11,5.37,5.82,2.38,10.48,11.19
6.47,11.55,16.82,20.2,22.54,5.08,5.27,5.72,2.34,10.35,10.99
6.37,11.41,16.74,20.17,22.55,5.04,5.33,5.81,2.38,10.37,11.14
,11.68,16.91,20.24,22.55,,5.23,5.64,2.31,,10.87
