50m*,100m*,150m,180m,200m,50-100m,100-150m,150-200m,180-200m,50-150m,100-200m
,10.48,15.09,18.01,20.02,,4.61,4.93,2.01,,9.54
5.77,10.36,15.06,18,20.02,4.59,4.7,4.96,2.02,9.29,9.66
5.92,10.4,15.04,17.99,20.02,4.48,4.64,4.98,2.03,9.12,9.62
5.82,10.35,15.04,17.99,20.02,4.53,4.69,4.98,2.03,9.22,9.67
5.92,10.42,15.07,18,20.02,4.5,4.65,4.95,2.02,9.15,9.6
,10.49,,,20.02,,,,,,9.53
,10.48,,,20.02,,,,,,9.54
,10.39,,,20.02,,,,,,9.63
5.91,10.39,15.02,17.98,20.02,4.48,4.63,5,2.04,9.11,9.63
5.88,10.36,15.01,17.97,20.02,4.48,4.65,5.01,2.05,9.13,9.66
,10.27,15.01,17.98,20.02,,4.74,5.01,2.04,,9.75
,10.65,15.26,18.1,20.03,,4.61,4.77,1.93,,9.38
5.78,10.27,14.99,17.98,20.03,4.49,4.72,5.04,2.05,9.21,9.76
5.9,10.5,15.1,18.02,20.03,4.6,4.6,4.93,2.01,9.2,9.53
5.88,10.42,15.09,18.02,20.03,4.54,4.67,4.94,2.01,9.21,9.61
5.84,10.41,15.11,18.04,20.04,4.57,4.7,4.93,2,9.27,9.63
,10.65,15.29,18.13,20.04,,4.64,4.75,1.91,,9.39
,10.2,,,20.04,,,,,,9.84
5.84,10.34,15.08,18.03,20.04,4.5,4.74,4.96,2.01,9.24,9.7
5.96,10.57,15.18,18.07,20.04,4.61,4.61,4.86,1.97,9.22,9.47
,10.29,,,20.04,,,,,,9.75
5.86,10.37,15.02,17.99,20.04,4.51,4.65,5.02,2.05,9.16,9.67
,10.36,,,20.05,,,,,,9.69
,10.4,,,20.05,,,,,,9.65
,10.5,,,20.05,,,,,,9.55
5.9,10.42,15.1,18.04,20.05,4.52,4.68,4.95,2.01,9.2,9.63
5.94,10.32,15.08,18.04,20.05,4.38,4.76,4.97,2.01,9.14,9.73
6.02,10.62,15.18,18.06,20.05,4.6,4.56,4.87,1.99,9.16,9.43
5.73,10.32,15,17.99,20.05,4.59,4.68,5.05,2.06,9.27,9.73
5.85,10.41,15.09,18.03,20.05,4.56,4.68,4.96,2.02,9.24,9.64
,10.47,,,20.05,,,,,,9.58
5.89,10.48,15.13,18.05,20.05,4.59,4.65,4.92,2,9.24,9.57
5.93,10.49,15.15,18.07,20.06,4.56,4.66,4.91,1.99,9.22,9.57
5.81,10.27,15.11,18.07,20.06,4.46,4.84,4.95,1.99,9.3,9.79
5.86,10.33,14.99,17.98,20.06,4.47,4.66,5.07,2.08,9.13,9.73
5.83,10.32,15.02,18,20.06,4.49,4.7,5.04,2.06,9.19,9.74
,10.36,,,20.07,,,,,,9.71
,10.3,,,20.07,,,,,,9.77
5.76,10.26,15,18,20.07,4.5,4.74,5.07,2.07,9.24,9.81
,10.32,,,20.07,,,,,,9.75
5.81,10.36,15.07,18.04,20.07,4.55,4.71,5,2.03,9.26,9.71
5.98,10.49,15.13,18.06,20.07,4.51,4.64,4.94,2.01,9.15,9.58
,10.14,14.86,17.93,20.07,,4.72,5.21,2.14,,9.93
5.97,10.54,15.2,18.1,20.08,4.57,4.66,4.88,1.98,9.23,9.54
,10.7,15.38,18.2,20.08,,4.68,4.7,1.88,,9.38
5.77,10.23,14.91,17.95,20.08,4.46,4.68,5.17,2.13,9.14,9.85
,10.56,,,20.08,,,,,,9.52
5.74,10.14,14.86,17.93,20.08,4.4,4.72,5.22,2.15,9.12,9.94
,10.41,,,20.08,,,,,,9.67
,10.78,,,20.08,,,,,,9.3
5.87,10.42,15.1,18.05,20.08,4.55,4.68,4.98,2.03,9.23,9.66
5.87,10.41,15.14,18.08,20.08,4.54,4.73,4.94,2,9.27,9.67
,10.25,,,20.09,,,,,,9.84
5.81,10.41,15.09,18.05,20.09,4.6,4.68,5,2.04,9.28,9.68
,10.28,14.94,17.97,20.09,,4.66,5.15,2.12,,9.81
5.87,10.52,15.23,18.13,20.09,4.65,4.71,4.86,1.96,9.36,9.57
,10.5,,,20.09,,,,,,9.59
5.78,10.33,15,18,20.09,4.55,4.67,5.09,2.09,9.22,9.76
,10.34,,,20.09,,,,,,9.75
5.79,10.32,15.08,18.06,20.09,4.53,4.76,5.01,2.03,9.29,9.77
5.8,10.4,15.1,18.06,20.09,4.6,4.7,4.99,2.03,9.3,9.69
,10.53,,,20.09,,,,,,9.56
5.84,10.39,15.06,18.03,20.09,4.55,4.67,5.03,2.06,9.22,9.7
5.78,10.31,15.04,18.03,20.09,4.53,4.73,5.05,2.06,9.26,9.78
5.8,10.42,15.11,18.06,20.09,4.62,4.69,4.98,2.03,9.31,9.67
5.84,10.36,15.06,18.04,20.09,4.52,4.7,5.03,2.05,9.22,9.73
5.96,10.46,15.11,18.06,20.09,4.5,4.65,4.98,2.03,9.15,9.63
5.86,10.39,15.09,18.05,20.09,4.53,4.7,5,2.04,9.23,9.7
,10.29,15.22,18.15,20.09,,4.93,4.87,1.94,,9.8
,10.7,,,20.1,,,,,,9.4
,10.4,,,20.1,,,,,,9.7
,10.17,15.03,18.05,20.1,,4.86,5.07,2.05,,9.93
,10.38,,,20.1,,,,,,9.72
,10.21,,,20.1,,,,,,9.89
,10.43,,,20.1,,,,,,9.67
,10.46,,,20.1,,,,,,9.64
,10.45,,,20.1,,,,,,9.65
,10.55,,,20.1,,,,,,9.55
5.83,10.43,15.16,18.1,20.1,4.6,4.73,4.94,2,9.33,9.67
5.85,10.42,15.06,18.04,20.1,4.57,4.64,5.04,2.06,9.21,9.68
5.82,10.39,15.11,18.07,20.1,4.57,4.72,4.99,2.03,9.29,9.71
5.87,10.44,15.14,18.08,20.1,4.57,4.7,4.96,2.02,9.27,9.66
